run_id,mode,atr_period,breakout_period,stop_period,stop_atr_multiple,alpha,max_cumulative_loss_pct,max_consecutive_losses,total_return,cagr,sharpe,max_drawdown,win_rate,profit_factor,total_trades,annual_vol,calmar,final_value,date_range
119,B,15,20,8,2.5,0.2,0.15,8,36.3121,3.1467,0.2308,27.6216,30.67,3.3176,75,0.0,0.1139,136312.11,2014-01-01~2024-01-01
120,A,15,20,10,1.5,0.0,0.15,8,148.7841,9.5438,0.5563,15.416,40.43,3.0602,94,0.0,0.6191,248784.06,2014-01-01~2024-01-01
121,B,15,20,10,1.5,0.0,0.15,8,96.0711,6.9659,0.3439,27.2752,31.82,3.9764,66,0.0,0.2554,196071.13,2014-01-01~2024-01-01
122,A,15,20,10,1.5,0.05,0.15,8,138.2281,9.0698,0.5271,18.5542,40.43,2.9886,94,0.0,0.4888,238228.06,2014-01-01~2024-01-01
124,A,15,20,10,1.5,0.1,0.15,8,138.3368,9.0748,0.5305,18.3465,40.43,2.9873,94,0.0,0.4946,238336.85,2014-01-01~2024-01-01
123,B,15,20,10,1.5,0.05,0.15,8,94.6654,6.889,0.344,27.1487,31.82,3.9568,66,0.0,0.2537,194665.41,2014-01-01~2024-01-01
125,B,15,20,10,1.5,0.1,0.15,8,105.0975,7.4485,0.3716,27.0343,33.87,3.8121,62,0.0,0.2755,205097.48,2014-01-01~2024-01-01
126,A,15,20,10,1.5,0.15,0.15,8,138.8789,9.0995,0.5394,18.2688,41.49,2.8728,94,0.0,0.4981,238878.91,2014-01-01~2024-01-01
127,B,15,20,10,1.5,0.15,0.15,8,100.0043,7.1786,0.3609,28.6752,33.87,3.6453,62,0.0,0.2503,200004.26,2014-01-01~2024-01-01
128,A,15,20,10,1.5,0.2,0.15,8,141.5183,9.2195,0.5528,19.4017,42.71,2.7277,96,0.0,0.4752,241518.34,2014-01-01~2024-01-01
129,B,15,20,10,1.5,0.2,0.15,8,100.0135,7.1791,0.3629,28.5434,34.38,3.5558,64,0.0,0.2515,200013.46,2014-01-01~2024-01-01
130,A,15,20,10,2.0,0.0,0.15,8,148.7841,9.5438,0.5563,15.416,40.43,3.0602,94,0.0,0.6191,248784.06,2014-01-01~2024-01-01
131,B,15,20,10,2.0,0.0,0.15,8,96.0711,6.9659,0.3439,27.2752,31.82,3.9764,66,0.0,0.2554,196071.13,2014-01-01~2024-01-01
132,A,15,20,10,2.0,0.05,0.15,8,138.2281,9.0698,0.5271,18.5542,40.43,2.9886,94,0.0,0.4888,238228.06,2014-01-01~2024-01-01
133,B,15,20,10,2.0,0.05,0.15,8,94.6654,6.889,0.344,27.1487,31.82,3.9568,66,0.0,0.2537,194665.41,2014-01-01~2024-01-01
134,A,15,20,10,2.0,0.1,0.15,8,138.3368,9.0748,0.5305,18.3465,40.43,2.9873,94,0.0,0.4946,238336.85,2014-01-01~2024-01-01
135,B,15,20,10,2.0,0.1,0.15,8,105.0975,7.4485,0.3716,27.0343,33.87,3.8121,62,0.0,0.2755,205097.48,2014-01-01~2024-01-01
137,B,15,20,10,2.0,0.15,0.15,8,100.0043,7.1786,0.3609,28.6752,33.87,3.6453,62,0.0,0.2503,200004.26,2014-01-01~2024-01-01
136,A,15,20,10,2.0,0.15,0.15,8,138.8789,9.0995,0.5394,18.2688,41.49,2.8728,94,0.0,0.4981,238878.91,2014-01-01~2024-01-01
138,A,15,20,10,2.0,0.2,0.15,8,141.5183,9.2195,0.5528,19.4017,42.71,2.7277,96,0.0,0.4752,241518.34,2014-01-01~2024-01-01
139,B,15,20,10,2.0,0.2,0.15,8,100.0135,7.1791,0.3629,28.5434,34.38,3.5558,64,0.0,0.2515,200013.46,2014-01-01~2024-01-01
140,A,15,20,10,2.5,0.0,0.15,8,148.7841,9.5438,0.5563,15.416,40.43,3.0602,94,0.0,0.6191,248784.06,2014-01-01~2024-01-01
141,B,15,20,10,2.5,0.0,0.15,8,96.0711,6.9659,0.3439,27.2752,31.82,3.9764,66,0.0,0.2554,196071.13,2014-01-01~2024-01-01
142,A,15,20,10,2.5,0.05,0.15,8,138.2281,9.0698,0.5271,18.5542,40.43,2.9886,94,0.0,0.4888,238228.06,2014-01-01~2024-01-01
143,B,15,20,10,2.5,0.05,0.15,8,94.6654,6.889,0.344,27.1487,31.82,3.9568,66,0.0,0.2537,194665.41,2014-01-01~2024-01-01
144,A,15,20,10,2.5,0.1,0.15,8,138.3368,9.0748,0.5305,18.3465,40.43,2.9873,94,0.0,0.4946,238336.85,2014-01-01~2024-01-01
145,B,15,20,10,2.5,0.1,0.15,8,105.0975,7.4485,0.3716,27.0343,33.87,3.8121,62,0.0,0.2755,205097.48,2014-01-01~2024-01-01
146,A,15,20,10,2.5,0.15,0.15,8,138.8789,9.0995,0.5394,18.2688,41.49,2.8728,94,0.0,0.4981,238878.91,2014-01-01~2024-01-01
147,B,15,20,10,2.5,0.15,0.15,8,100.0043,7.1786,0.3609,28.6752,33.87,3.6453,62,0.0,0.2503,200004.26,2014-01-01~2024-01-01
148,A,15,20,10,2.5,0.2,0.15,8,141.5183,9.2195,0.5528,19.4017,42.71,2.7277,96,0.0,0.4752,241518.34,2014-01-01~2024-01-01
149,B,15,20,10,2.5,0.2,0.15,8,100.0135,7.1791,0.3629,28.5434,34.38,3.5558,64,0.0,0.2515,200013.46,2014-01-01~2024-01-01
150,A,15,20,12,1.5,0.0,0.15,8,149.3085,9.5668,0.5251,24.3668,40.48,3.3063,84,0.0,0.3926,249308.48,2014-01-01~2024-01-01
151,B,15,20,12,1.5,0.0,0.15,8,96.4515,6.9866,0.3742,27.7434,28.81,4.8744,59,0.0,0.2518,196451.52,2014-01-01~2024-01-01
152,A,15,20,12,1.5,0.05,0.15,8,183.7751,10.9951,0.6107,24.1957,41.98,3.6092,81,0.0,0.4544,283775.09,2014-01-01~2024-01-01
153,B,15,20,12,1.5,0.05,0.15,8,96.1985,6.9729,0.376,27.5964,28.81,4.8709,59,0.0,0.2527,196198.5,2014-01-01~2024-01-01
154,A,15,20,12,1.5,0.1,0.15,8,174.0845,10.61,0.593,26.0926,40.24,3.7036,82,0.0,0.4066,274084.48,2014-01-01~2024-01-01
155,B,15,20,12,1.5,0.1,0.15,8,114.1439,7.9133,0.4058,26.5933,30.36,4.911,56,0.0,0.2976,214143.86,2014-01-01~2024-01-01
156,A,15,20,12,1.5,0.15,0.15,8,175.3341,10.6603,0.6003,25.7177,40.96,3.6074,83,0.0,0.4145,275334.12,2014-01-01~2024-01-01
157,B,15,20,12,1.5,0.15,0.15,8,108.6356,7.6324,0.394,26.323,30.36,4.666,56,0.0,0.29,208635.63,2014-01-01~2024-01-01
158,A,15,20,12,1.5,0.2,0.15,8,163.0942,10.1582,0.5763,25.4818,40.48,3.6039,84,0.0,0.3986,263094.18,2014-01-01~2024-01-01
