symbol,entry_date,exit_date,holding_days,direction,entry_price,exit_price,pnl,was_win,units,n_atr,hurst_252,rsi_14,vol_ratio,breakout_amplitude_n,body_ratio,close_position,atr_percentile_252,sma60_slope_20d,sma20,season
159915.SZ,2021-04-19T00:00:00,2021-06-16T00:00:00,38,long,2.798,3.024,14192.8,True,4,0.073,0.6729,58.05,1.36,0.3973,0.9213,0.9921,0.5212,-2.2571,2.6708,2021Q2
159915.SZ,2021-06-23T00:00:00,2021-07-26T00:00:00,23,long,3.217,3.27,3264.8,True,4,0.0738,0.6888,62.09,1.04,0.0678,0.5429,0.7571,0.5338,5.4709,3.1376,2021Q2
518880.SH,2021-07-15T00:00:00,2021-07-27T00:00:00,8,long,3.721,3.662,-1970.6,False,1,0.0286,0.6854,58.55,0.88,0.7343,0.4615,0.8462,0.0714,0.5554,3.6504,2021Q3
510500.SH,2021-07-13T00:00:00,2021-07-28T00:00:00,11,long,6.5406,6.2503,-12976.41,False,3,0.0795,0.6735,70.27,0.61,0.4855,0.7226,0.9209,0.0845,2.776,6.3286,2021Q3
513100.SH,2021-06-18T00:00:00,2021-08-19T00:00:00,44,long,0.9364,0.984,22619.52,True,4,0.0095,0.6755,66.16,2.01,1.0737,0.48,0.92,0.0329,1.4816,0.9033,2021Q2
513100.SH,2021-08-23T00:00:00,2021-09-15T00:00:00,17,long,1.0096,1.0158,3412.48,True,4,0.0085,0.6728,59.23,1.03,0.0235,0.6452,0.9355,0.0486,3.7148,0.9991,2021Q3
510500.SH,2021-08-27T00:00:00,2021-09-27T00:00:00,19,long,6.7571,6.7747,908.16,True,4,0.0905,0.6611,64.54,0.41,0.0376,0.6985,0.8684,0.288,2.4039,6.5932,2021Q3
513100.SH,2021-10-28T00:00:00,2021-12-02T00:00:00,25,long,1.0228,1.0456,12695.04,True,4,0.0083,0.6764,59.86,0.53,0.241,0.4667,0.6,0.0711,0.5841,0.9995,2021Q4
159915.SZ,2021-10-19T00:00:00,2021-12-07T00:00:00,35,long,3.191,3.266,5160.0,True,4,0.0676,0.6505,56.24,0.76,0.074,0.275,0.575,0.3234,-1.853,3.1123,2021Q4
510500.SH,2021-11-12T00:00:00,2022-01-06T00:00:00,38,long,6.7428,6.8066,3470.72,True,4,0.0876,0.6882,55.26,0.51,0.0856,0.6163,0.7336,0.2529,0.7996,6.6529,2021Q4
518880.SH,2021-12-28T00:00:00,2022-01-07T00:00:00,7,long,3.642,3.592,-2540.0,False,1,0.0231,0.6935,56.23,0.63,0.0866,0.8571,1.0,0.0,-0.4721,3.596,2021Q4
513100.SH,2021-12-28T00:00:00,2022-01-10T00:00:00,8,long,1.0806,1.028,-4576.2,False,1,0.0135,0.6971,58.59,0.83,0.2667,0.6667,0.8333,0.6733,0.871,1.0528,2021Q4
513100.SH,2022-03-30T00:00:00,2022-04-11T00:00:00,6,long,0.99,0.929,-3757.6,False,1,0.0189,0.7013,64.75,0.77,0.582,0.3333,0.3333,0.7673,-4.6541,0.9127,2022Q1
518880.SH,2022-02-18T00:00:00,2022-04-28T00:00:00,47,long,3.76,3.89,19032.0,True,4,0.0312,0.6751,64.35,1.46,0.4487,0.5789,0.4211,0.4023,0.1273,3.6648,2022Q1
518880.SH,2022-06-13T00:00:00,2022-06-15T00:00:00,2,long,3.926,3.834,-3698.4,False,1,0.0297,0.6786,57.49,1.96,0.2694,0.7778,0.1111,0.2581,0.4075,3.8753,2022Q2
510500.SH,2022-05-31T00:00:00,2022-07-12T00:00:00,29,long,5.7109,5.9726,9630.56,True,4,0.1254,0.6999,58.95,1.22,0.5287,0.6819,0.8942,0.6,-5.0068,5.4794,2022Q2
159915.SZ,2022-06-01T00:00:00,2022-07-12T00:00:00,28,long,2.354,2.622,19939.2,True,4,0.062,0.6291,56.22,0.78,0.0323,0.4667,0.7333,0.2589,-6.2196,2.2688,2022Q2
510500.SH,2022-08-11T00:00:00,2022-08-25T00:00:00,10,long,6.1882,6.0708,-2817.6,False,2,0.1039,0.6933,60.1,0.94,0.2743,0.8808,0.9754,0.3806,3.8408,6.0374,2022Q3
513100.SH,2022-07-29T00:00:00,2022-08-29T00:00:00,21,long,0.888,0.879,-3157.2,False,4,0.014,0.6912,66.51,1.12,1.2857,1.0,1.0,0.4591,-3.1546,0.8378,2022Q3
518880.SH,2023-01-04T00:00:00,2023-02-07T00:00:00,19,long,4.002,4.01,1635.2,True,4,0.0233,0.636,63.81,0.93,0.4292,0.25,0.5,0.1243,1.5964,3.95,2023Q1
159915.SZ,2023-01-10T00:00:00,2023-02-09T00:00:00,17,long,2.401,2.493,10598.4,True,4,0.0412,0.6646,66.68,0.88,0.4612,0.7826,0.8913,0.0519,-0.0036,2.2911,2023Q1
510500.SH,2023-01-20T00:00:00,2023-02-16T00:00:00,14,long,6.0328,6.0683,2101.6,True,4,0.0655,0.7103,73.18,1.05,0.5878,0.9011,0.9251,0.0,0.8046,5.7887,2023Q1
513100.SH,2023-01-17T00:00:00,2023-02-22T00:00:00,21,long,0.82,0.85,16404.0,True,4,0.0088,0.6222,53.04,0.88,0.1136,0.6667,0.8333,0.0,-0.4463,0.8066,2023Q1
159915.SZ,2023-04-03T00:00:00,2023-04-20T00:00:00,12,long,2.366,2.314,-3192.8,False,2,0.032,0.6945,60.14,1.1,0.0312,0.907,0.907,0.0158,-0.0203,2.2892,2023Q2
510500.SH,2023-04-03T00:00:00,2023-04-21T00:00:00,13,long,6.1731,6.0251,-5712.8,False,2,0.0637,0.7145,63.22,1.15,0.0298,0.7173,0.7707,0.0137,1.3712,6.0345,2023Q2
518880.SH,2023-03-06T00:00:00,2023-04-24T00:00:00,34,long,4.071,4.277,47956.8,True,4,0.0204,0.6489,62.71,1.08,1.2745,0.7273,0.7273,0.0442,0.6774,4.0158,2023Q1
518880.SH,2023-05-04T00:00:00,2023-05-26T00:00:00,16,long,4.395,4.31,-5406.0,False,2,0.0394,0.6484,64.55,1.07,0.3046,0.625,0.2917,0.9763,2.216,4.3132,2023Q2
513100.SH,2023-03-17T00:00:00,2023-08-03T00:00:00,93,long,0.884,1.118,92289.6,True,4,0.0124,0.6451,60.01,1.33,0.7258,0.0,0.5,0.2766,0.445,0.8586,2023Q1
